star_name,hip_name,hd_name,gj_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_rvflag,st_ppnum,rastr,ra,decstr,dec,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr,st_teff,st_tefferr,st_mass,st_masserr,st_logg,st_loggerr,st_age,st_ageerr,st_metfe,st_metfeerr,st_metratio
HIP 57,HIP 57,HD 224789,,1,0,0,0,0,00h00m40.39s,0.168286,-69d40m32.9s,-69.675801,29.87,0.61,-0.59,8.24,0.02,0.88,0.02,K2V,0.46,0.07,4999,,0.82,,4.48,,,,,,
HIP 169 A,HIP 169 A,HD 224953,GJ 1294 A,1,0,0,0,0,00h02m08.41s,0.535021,-68d16m48.7s,-68.280206,15.33,0.47,-0.45,9.24,0.01,1.41,0.01,K5/M0V,0.08,0.12,3880,,0.53,,,,,,,,
HIP 171,HIP 171,HD 224930,GJ 914 A,1,0,1,0,0,00h02m09.65s,0.540188,+27d05m04.2s,27.084489,12.17,0.38,-0.35,5.8,0.01,0.69,0.02,G3V,0.7,0.09,5502,,0.91,,4.27,,,,,,
HIP 263,HIP 263,,,1,0,0,0,0,00h03m19.02s,0.829238,+04d41m13.7s,4.687136,29.21,2.89,-2.41,12.04,0.01,1.47,0.02,M1,0.04,0.25,3681,,0.45,,,,,,,,
HIP 375,HIP 375,,,1,0,0,0,0,00h04m40.15s,1.167294,+34d16m17.4s,34.271506,28.97,193.88,-13.48,9.08,,,,,0.16,,,,0.62,,,,,,,,
HIP 400,HIP 400,HD 225261,GJ 3003,1,0,0,0,0,00h04m56.08s,1.23366,+23d16m10.7s,23.269647,26.39,0.54,-0.52,7.81,0.02,0.77,0.02,G9V,0.52,0.07,5265,,0.79,,4.54,,12.28,,-0.44,,[Fe/H]
HIP 428,HIP 428,,GJ 2,1,0,0,0,0,00h05m10.16s,1.292336,+45d47m13.0s,45.786934,11.25,0.23,-0.22,9.95,0.01,1.47,0.02,M2,0.04,0.1,3664,,0.45,,,,,,,,
HIP 436,HIP 436,HD 55,GJ 3,1,0,0,0,0,00h05m17.87s,1.324453,-67d49m52.4s,-67.831227,15.89,0.16,-0.16,8.49,0.01,1.08,0.01,K5V,0.15,0.05,4514,,0.61,,,,,,,,
HIP 439,HIP 439,HD 225213,GJ 1,1,0,0,0,0,00h05m20.29s,1.334556,-37d21m06.1s,-37.351681,4.34,,,8.56,0.01,1.46,0.01,M1.5V,0.02,0.09,3696,,0.38,,,,,,,,
HIP 473 A,HIP 473 A,HD 38 A,GJ 4 A,1,0,0,0,0,00h05m40.28s,1.417823,+45d48m44.8s,45.812455,11.31,0.23,-0.22,8.83,0.03,1.41,0.01,K2,0.09,0.12,3867,,0.55,,4.79,,,,,,
HIP 518 A,HIP 518 A,HD 123,GJ 4.1 A,1,0,0,0,0,00h06m15.54s,1.564744,+58d26m12.1s,58.43669,21.48,0.22,-0.21,5.98,0,0.69,0,G5V,1.73,0.04,5718,,1.15,,4.5,,,,,,
HD 142,HIP 522,HD 142,GJ 4.2 A,1,1,0,1,2,00h06m18.66s,1.577763,-49d04m30.3s,-49.075094,25.71,0.26,-0.25,5.7,0.02,0.52,0.01,F7V,3,0.11,6249,,1.23,,4.26,,3.12,,0.1,,[Fe/H]
HIP 523,HIP 523,,GJ 3006,1,0,0,0,0,00h06m18.90s,1.57876,-65d50m21.1s,-65.839195,16.71,0.7,-0.64,12.17,0.01,1.58,0.01,M4,0.02,0.14,3455,,0.36,,,,,,,,
HIP 544,HIP 544,HD 166,GJ 5,1,0,1,1,0,00h06m36.53s,1.65221,+29d01m19.0s,29.021935,13.67,0.14,-0.14,6.06,0.02,0.75,0,K0V,0.68,0.11,5577,,0.98,,4.57,,1.9,,0.18,,[Fe/H]
HIP 669,HIP 669,HD 361,,1,0,0,0,0,00h08m16.37s,2.068209,-14d49m28.1s,-14.824466,27.44,0.56,-0.54,7.03,0.02,0.62,0.02,G2/3V,1.03,0.07,5837,,1.01,,4.47,,,,,,
HIP 677,HIP 677,HD 358,,1,1,0,0,0,00h08m23.17s,2.096533,+29d05m27.0s,29.090828,29.74,0.3,-0.29,2.06,0.01,-0.05,0.01,B9p,251.04,0.06,13098,,4.12,,3.91,,,,,,
HIP 687,HIP 687,,GJ 3008,1,0,0,0,0,00h08m27.34s,2.113901,+17d25m28.0s,17.424454,21.75,0.91,-0.84,10.76,0.01,1.48,0.01,M0,0.06,0.11,3854,,0.49,,,,,,,,
HIP 738,HIP 738,,GJ 7,1,0,0,0,0,00h09m03.90s,2.266269,-27d07m20.5s,-27.122352,23.45,1.5,-1.33,11.67,0.01,1.51,0.01,,0.03,0.18,3783,,0.41,,,,,,,,
HIP 746,HIP 746,HD 432,GJ 8,1,1,0,0,0,00h09m10.09s,2.29204,+59d09m00.8s,59.150218,16.78,0.17,-0.17,2.26,0.02,0.36,0.02,F2III-IV,29.09,0.06,6915,,2.37,,3.49,,,,,,
HIP 897,HIP 897,,GJ 3011,1,0,0,0,0,00h11m04.46s,2.768588,-05d47m02.4s,-5.783994,25.54,1.34,-1.22,10.86,0.01,1.42,0.02,M2,0.08,0.13,3859,,0.52,,,,,,,,
HIP 910,HIP 910,HD 693,GJ 10,1,1,0,0,0,00h11m15.91s,2.816284,-15d28m02.4s,-15.467323,18.75,0.19,-0.19,4.89,0.01,0.49,0.01,F5V,3.38,0.06,6255,,1.37,,4.18,,,,,,
HIP 916,HIP 916,,GJ 3012,1,0,0,0,0,00h11m20.89s,2.837028,+58d20m59.5s,58.349863,28.08,1.48,-1.34,9.5,0.01,1.25,0.02,K7,0.21,0.14,4325,,0.67,,,,,,,,
HIP 950,HIP 950,HD 739,GJ 3013,1,0,0,0,0,00h11m43.89s,2.932867,-35d08m00.2s,-35.133396,21.28,0.21,-0.21,5.24,0.02,0.43,0.02,F3/5V,3.07,0.1,6548,,1.33,,4.3,,,,,,
HIP 974,HIP 974,,,1,0,0,0,0,00h12m03.84s,3.015992,+27d05m57.0s,27.099154,26.36,0.82,-0.77,8.7,0.03,1.03,0.03,K0,0.27,0.11,4827,,0.72,,,,,,,,
HIP 1006,HIP 1006,,,1,0,0,0,0,00h12m33.39s,3.139138,+21d42m50.9s,21.714142,27.94,2.43,-2.07,11.67,0.01,1.48,0.02,,0.04,0.19,3926,,0.44,,,,,,,,
HIP 1031,HIP 1031,HD 870,GJ 2001,1,0,0,0,0,00h12m50.38s,3.209913,-57d54m45.7s,-57.912695,20.19,0.2,-0.2,7.22,0,0.78,0,K0V,0.52,0.04,5273,,0.84,,4.47,,,,,,
HIP 1068 A,HIP 1068 A,,GJ 11 A,1,0,0,0,0,00h13m14.64s,3.310993,+69d19m39.3s,69.327592,20.04,2.73,-2.15,12.46,1.26,1.4,0.5,M6,0.02,1.99,3382,,0.38,,,,,,,,
